  0.10000000E+001  0.00000000E+000 -0.19949144E+001  0.00000000E+000  0.15000000E+001  0.00000000E+000  0.15000000E+001  0.00000000E+000  0.54881237E-007  0.00000000E+000  0.54881237E-007  0.00000000E+000  0.50000000E+000  0.00000000E+000 -0.18293746E-007  0.00000000E+000  0.99891001E-015  0.00000000E+000
  0.99999912E+000 -0.65038682E-005 -0.99999912E+000  0.65038682E-005  0.15000026E+001  0.19511605E-004  0.15000026E+001  0.19511605E-004  0.61963836E-007  0.61963504E-007  0.61963836E-007  0.61963504E-007  0.50000088E+000  0.65038682E-005 -0.20654612E-007 -0.20654501E-007  0.33321587E-072 -0.21866080E-026
  0.99999905E+000 -0.63918530E-005 -0.99999905E+000  0.63918530E-005  0.15000029E+001  0.19175559E-004  0.15000029E+001  0.19175559E-004  0.62651360E-007  0.62650997E-007  0.62651360E-007  0.62650997E-007  0.50000095E+000  0.63918530E-005 -0.20883787E-007 -0.20883666E-007  0.14277485E-086 -0.22108697E-026
  0.99999898E+000 -0.62845921E-005 -0.19949133E+001  0.62871158E-005  0.15000031E+001  0.18853776E-004  0.15000031E+001  0.18853776E-004  0.63346512E-007  0.63346119E-007  0.63346512E-007  0.63346119E-007  0.50000102E+000  0.62845921E-005 -0.21115504E-007 -0.21115373E-007  0.13308355E-014 -0.25338553E-007
  0.99999891E+000 -0.61819429E-005 -0.99999873E+000  0.61819429E-005  0.15000033E+001  0.18545829E-004  0.15000033E+001  0.18545829E-004  0.64049376E-007  0.64048952E-007  0.64049376E-007  0.64048952E-007  0.50000109E+000  0.61819429E-005 -0.21349792E-007 -0.21349651E-007 -0.25291482E-021  0.47625481E-014
  0.99999884E+000 -0.60837676E-005 -0.99999884E+000  0.60837676E-005  0.15000035E+001  0.18251303E-004  0.15000035E+001  0.18251303E-004  0.64760039E-007  0.64759584E-007  0.64760039E-007  0.64759584E-007  0.50000116E+000  0.60837676E-005 -0.21586680E-007 -0.21586528E-007  0.14118302E-028 -0.26294143E-021
  0.99999878E+000 -0.59899331E-005 -0.99999878E+000  0.59899331E-005  0.15000037E+001  0.17969799E-004  0.15000037E+001  0.17969799E-004  0.65478587E-007  0.65478101E-007  0.65478587E-007  0.65478101E-007  0.50000122E+000  0.59899331E-005 -0.21826196E-007 -0.21826034E-007  0.14127386E-042 -0.23106382E-026
  0.99999871E+000 -0.59003108E-005 -0.99999871E+000  0.59003108E-005  0.15000039E+001  0.17700932E-004  0.15000039E+001  0.17700932E-004  0.66205108E-007  0.66204590E-007  0.66205108E-007  0.66204590E-007  0.50000129E+000  0.59003108E-005 -0.22068369E-007 -0.22068197E-007  0.14660049E-056 -0.23362760E-026
  0.99999865E+000 -0.58147763E-005 -0.99999865E+000  0.58147763E-005  0.15000041E+001  0.17444329E-004  0.15000041E+001  0.17444329E-004  0.66939689E-007  0.66939139E-007  0.66939689E-007  0.66939139E-007  0.50000135E+000  0.58147763E-005 -0.22313230E-007 -0.22313046E-007  0.15558541E-070 -0.23621982E-026
  0.99999858E+000 -0.57332096E-005 -0.99999858E+000  0.57332096E-005  0.15000043E+001  0.17199629E-004  0.15000043E+001  0.17199629E-004  0.67682420E-007  0.67681839E-007  0.67682420E-007  0.67681839E-007  0.50000142E+000  0.57332096E-005 -0.22560807E-007 -0.22560613E-007  0.16766133E-084 -0.23884081E-026
  0.99999852E+000 -0.56554945E-005 -0.19949129E+001  0.56582209E-005  0.15000044E+001  0.16966483E-004  0.15000044E+001  0.16966483E-004  0.68433393E-007  0.68432779E-007  0.68433393E-007  0.68432779E-007  0.50000148E+000  0.56554945E-005 -0.22811131E-007 -0.22810926E-007  0.15531580E-014 -0.27373276E-007
